state,value
California,218
Minnesota,184
Oregon,145
Texas,142
Colorado,131
Washington,121
New York,117
Wisconsin,107
Florida,101
Massachusetts,99
North Carolina,96
Illinois,91
Maryland,83
Iowa,80
Indiana,79
Missouri,78
Kentucky,76
Ohio,74
Arizona,74
Michigan,68
Pennsylvania,68
Connecticut,66
South Carolina,64
New Hampshire,59
New Jersey,57
New Mexico,56
Georgia,56
Virginia,52
Idaho,52
Tennessee,50
Vermont,49
South Dakota,46
Montana,45
Arkansas,43
Rhode Island,43
Nebraska,42
Utah,42
Oklahoma,40
Nevada,38
Wyoming,36
Mississippi,36
Alabama,35
Alaska,33
Delaware,32
Maine,31
North Dakota,31
Hawaii,29
Louisiana,28
Kansas,26
West Virginia,13
