state,aceee,policies
Alabama,9.5,35
Alaska,10.5,33
Arizona,21.5,74
Arkansas,14,43
California,43.5,218
Colorado,27,131
Connecticut,36.5,66
Delaware,20.5,32
Florida,16.5,101
Georgia,11,56
Hawaii,25.5,29
Idaho,14.5,52
Illinois,29,91
Indiana,10.5,79
Iowa,18.5,80
Kansas,7,26
Kentucky,11,76
Louisiana,6.5,28
Maine,26,31
Maryland,34.5,83
Massachusetts,44.5,99
Michigan,28.5,68
Minnesota,32.5,184
Mississippi,8,36
Missouri,14.5,78
Montana,12.5,45
Nebraska,9.5,42
Nevada,15.5,38
New Hampshire,21,59
New Jersey,24,57
New Mexico,14,56
New York,37,117
North Carolina,15.5,96
North Dakota,5,31
Ohio,14,74
Oklahoma,12,40
Oregon,32,145
Pennsylvania,23.5,68
Rhode Island,40.5,43
South Carolina,10.5,64
South Dakota,7,46
Tennessee,14.5,50
Texas,15.5,142
Utah,19.5,42
Vermont,40.5,49
Virginia,15,52
Washington,31.5,121
West Virginia,6.5,13
Wisconsin,16,107
Wyoming,4.5,36
