,State,Generation,Renewable_pct
0,Alabama,140388.1938,11.7380614950258
1,Alaska,6140.5559,36.034837660219004
2,Arizona,134329.94051,18.808663395573483
3,Arkansas,54950.97678999999,11.37082160318774
4,California,352152.46689,48.42338878553582
5,Colorado,73048.02191,43.86913296499969
6,Connecticut,44085.15447,5.377273548203585
7,Delaware,5515.04655,5.610981470319592
8,Florida,275747.69714000006,9.482633186497404
9,Georgia,137465.96838000003,15.713018185192224
10,Hawaii,14387.6598,26.261013344227113
11,Idaho,24536.447559999997,78.69958502664355
12,Illinois,192302.86733000004,18.485157014845218
13,Indiana,98480.65215,15.796805200177587
14,Iowa,94224.62574999999,73.90277226970042
15,Kansas,78192.97256000001,60.57131584767059
16,Kentucky,64033.835569999996,8.148723114197796
17,Louisiana,104948.91158999999,3.733437699008347
18,Maine,15299.91555,71.2864538000669
19,Maryland,40784.83995000001,12.929927606593436
20,Massachusetts,29011.526209999996,26.755769047835976
21,Michigan,114630.53692999999,15.75999333496274
22,Minnesota,75508.16565,42.95588061342343
23,Mississippi,68499.19993,3.9656640993996497
24,Missouri,78012.23936,12.28230482627694
25,Montana,26909.881550000002,63.75054675779499
26,Nebraska,45880.785610000006,41.97450772465096
27,Nevada,62582.23433,42.63720932253267
28,New Hampshire,18511.28427,19.70059357745469
29,New Jersey,72076.42765000001,8.627384295730977
30,New Mexico,47483.99698999999,41.71986881005824
31,New York,146876.03987,32.58681746346298
32,North Carolina,154448.92539999998,24.29750593784319
33,North Dakota,55971.532080000004,53.282422674037335
34,Ohio,125182.65375999997,5.3742694917606135
35,Oklahoma,113771.17851000001,55.92163498104911
36,Oregon,78309.31545,71.02268238510058
37,Pennsylvania,238438.22059,6.1676707046423775
38,Rhode Island,9670.937109999999,15.488971471555772
39,South Carolina,106595.5211,9.634740863422637
40,South Dakota,22651.929400000005,87.4852540817119
41,Tennessee,79514.06418000002,14.571181248856641
42,Texas,596796.5809200001,35.73871470262175
43,Utah,46924.66588999999,23.288172057776592
44,Vermont,4090.3886099999995,78.11902082330512
45,Virginia,110598.85676,8.60762647904969
46,Washington,124674.69868000003,75.34902397568001
47,West Virginia,58686.60226,9.42908762290305
48,Wisconsin,64533.74842999999,13.170394029132334
49,Wyoming,47315.38741,25.116483158052617
